Area Type,Area,NAICS,NAICS Title,Year,Establishments,Average Employment,Total Wage,Annual Average Salary                                                                                                                                                  
Labor Market Area,New York City Region,445,Food and Beverage Stores,2015,9458,81266,$2069904918,$25471
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2015,4364,44826,$1980775960,$44188
Labor Market Area,New York City Region,447,Gasoline Stations,2015,610,3040,$78199214,$25723
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2015,5700,74063,$2987910654,$40343
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2015,1192,12547,$316984708,$25264
Labor Market Area,New York City Region,452,General Merchandise Stores,2015,1472,44134,$1376292411,$31184
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2015,3107,20186,$1185934659,$58750
Labor Market Area,New York City Region,454,Nonstore Retailers,2015,1352,13725,$1125017469,$81968
Labor Market Area,New York City Region,48,Transportation and Warehousing,2015,4797,112864,$6028865325,$53417
Labor Market Area,New York City Region,481,Air Transportation,2015,148,29574,$2227313475,$75313
Labor Market Area,New York City Region,483,Water Transportation,2015,45,1881,$195561140,$103967
Labor Market Area,New York City Region,484,Truck Transportation,2015,1181,10451,$470290592,$45000
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2015,1394,30497,$1240697262,$40683
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2015,82,2406,$84303595,$35039
Labor Market Area,New York City Region,488,Support Activities for Transportation,2015,1134,17923,$917315391,$51181
Labor Market Area,New York City Region,491,Postal Service,2015,5,17,$466683,$27452
Labor Market Area,New York City Region,492,Couriers and Messengers,2015,656,16400,$729402593,$44476
Labor Market Area,New York City Region,493,Warehousing and Storage,2015,147,3679,$159992882,$43488
Labor Market Area,New York City Region,51,Information,2015,6376,174717,$23309356305,$133412
Labor Market Area,New York City Region,511,Publishing Industries,2015,1269,43960,$5621954003,$127888
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2015,2655,42091,$4397589406,$104478
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2015,222,27635,$4382424546,$158582
Labor Market Area,New York City Region,517,Telecommunications,2015,605,18309,$2283126625,$124700
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2015,441,7720,$1493741969,$193490
Labor Market Area,New York City Region,519,Other Information Services,2015,1185,35003,$5130519756,$146574
Labor Market Area,New York City Region,52,Finance and Insurance,2015,11995,324457,$92979493433,$286570
Labor Market Area,New York City Region,522,Credit Intermediation & Related Activity,2015,3657,94333,$17773279000,$188410
Labor Market Area,New York City Region,523,Financial Investment & Related Activity,2015,5624,169351,$65707602756,$387997
Labor Market Area,New York City Region,524,Insurance Carriers & Related Activities,2015,2558,57315,$8929012676,$155788
Labor Market Area,New York City Region,525,"Funds, Trusts & Other Financial Vehicles",2015,153,734,$118232897,$161080
Labor Market Area,New York City Region,53,Real Estate and Rental and Leasing,2015,20936,125692,$9444115556,$75137
Labor Market Area,New York City Region,531,Real Estate,2015,19998,115352,$8742330160,$75788
Labor Market Area,New York City Region,532,Rental and Leasing Services,2015,787,8507,$462214960,$54333
Labor Market Area,New York City Region,533,"Lessors, Nonfinancial Intangible Assets",2015,150,1833,$239570436,$130699
Labor Market Area,New York City Region,54,Professional and Technical Services,2015,29749,382235,$47803132768,$125062
Labor Market Area,New York City Region,541,Professional and Technical Services,2015,29749,382235,$47803132768,$125062
Labor Market Area,New York City Region,55,Management of Companies and Enterprises,2015,1469,68203,$13098244380,$192048
Labor Market Area,New York City Region,551,Management of Companies and Enterprises,2015,1469,68203,$13098244380,$192048
Labor Market Area,New York City Region,56,Administrative and Waste Services,2015,10954,216125,$12613941665,$58364
Labor Market Area,New York City Region,561,Administrative and Support Services,2015,10601,208329,$12167833860,$58407
Labor Market Area,New York City Region,562,Waste Management and Remediation Service,2015,354,7796,$446107805,$57223
Labor Market Area,New York City Region,61,Educational Services,2015,4005,173865,$11588722911,$66654
Labor Market Area,New York City Region,611,Educational Services,2015,4005,173865,$11588722911,$66654
Labor Market Area,New York City Region,62,Health Care and Social Assistance,2015,22605,647024,$31651548530,$48919
Labor Market Area,New York City Region,621,Ambulatory Health Care Services,2015,15982,237962,$10887616129,$45754
Labor Market Area,New York City Region,622,Hospitals,2015,81,157913,$12570155189,$79602
Labor Market Area,New York City Region,623,Nursing and Residential Care Facilities,2015,1331,73899,$2948111409,$39894
Labor Market Area,New York City Region,624,Social Assistance,2015,5211,177250,$5245665803,$29595
Labor Market Area,New York City Region,71,"Arts, Entertainment, and Recreation",2015,5598,81582,$5732895305,$70272
Labor Market Area,New York City Region,711,Performing Arts and Spectator Sports,2015,4144,38976,$4088195430,$104890
Labor Market Area,New York City Region,712,"Museums, Parks and Historical Sites",2015,260,13892,$769443078,$55387
Labor Market Area,New York City Region,713,"Amusement, Gambling & Recreation Ind",2015,1195,28713,$875256797,$30483
Labor Market Area,New York City Region,72,Accommodation and Food Services,2015,21414,339921,$10887211725,$32029
Labor Market Area,New York City Region,721,Accommodation,2015,761,50240,$3053360956,$60775
Labor Market Area,New York City Region,722,Food Services and Drinking Places,2015,20653,289681,$7833850769,$27043
Labor Market Area,New York City Region,81,"Other Services, Ex. Public Admin",2015,35404,167648,$7840935275,$46770
Labor Market Area,New York City Region,811,Repair and Maintenance,2015,3346,14870,$511328545,$34387
Labor Market Area,New York City Region,812,Personal and Laundry Services,2015,11341,55722,$1597206515,$28664
Labor Market Area,New York City Region,813,Membership Organizations & Associations,2015,6812,79263,$5052977033,$63750
Labor Market Area,New York City Region,814,Private Households,2015,13906,17794,$679423182,$38183
Labor Market Area,New York City Region,953,Local Government,2015,2252,451813,$27298862072,$60421
Labor Market Area,New York City Region,99,Unclassified,2015,21158,22134,$948466543,$42851
Labor Market Area,New York City Region,0,"Total, All Industries",2015,265814,4081381,$349947309400,$85742
Labor Market Area,New York City Region,1,"Total, All Private",2015,262779,3544892,$315867367661,$89105
Labor Market Area,New York City Region,95,"Total, All Government",2015,3035,536489,$34079941739,$63524
Labor Market Area,New York City Region,951,Federal Government,2015,394,48952,$4118872282,$84141
Labor Market Area,New York City Region,952,State Government,2015,389,35724,$2662207385,$74522
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2014,45,212,$12201608,$57555
Labor Market Area,New York City Region,111,Crop Production,2014,18,65,$1811142,$27864
Labor Market Area,New York City Region,112,Animal Production,2014,11,32,$1095999,$34250
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2014,15,115,$9294467,$80821
Labor Market Area,New York City Region,21,Mining,2014,10,65,$13885098,$213617
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2014,4,15,$8700651,$580043
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2014,4,32,$4390215,$137194
Labor Market Area,New York City Region,213,Support Activities for Mining,2014,3,18,$794232,$44124
Labor Market Area,New York City Region,22,Utilities,2014,65,14930,$1639801752,$109833
Labor Market Area,New York City Region,221,Utilities,2014,65,14930,$1639801752,$109833
Labor Market Area,New York City Region,23,Construction,2014,12576,124291,$9206819915,$74075
Labor Market Area,New York City Region,236,Construction of Buildings,2014,5012,35090,$2498868700,$71213
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2014,254,7902,$878571039,$111183
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2014,7310,81299,$5829380176,$71703
Labor Market Area,New York City Region,31,Manufacturing,2014,5724,75648,$4088196915,$54042
Labor Market Area,New York City Region,311,Food Manufacturing,2014,1076,16367,$538206981,$32884
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2014,45,911,$173536409,$190490
Labor Market Area,New York City Region,313,Textile Mills,2014,130,1173,$100420384,$85610
Labor Market Area,New York City Region,314,Textile Product Mills,2014,128,1022,$60618734,$59314
Labor Market Area,New York City Region,315,Apparel Manufacturing,2014,1084,15655,$919143655,$58712
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2014,61,449,$20906986,$46563
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2014,74,848,$43771671,$51618
Labor Market Area,New York City Region,322,Paper Manufacturing,2014,55,1325,$80333948,$60629
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2014,631,6153,$323756070,$52618
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2014,6,67,$5984413,$89320
Labor Market Area,New York City Region,325,Chemical Manufacturing,2014,109,2859,$231886074,$81107
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2014,67,1689,$71998759,$42628
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2014,118,1599,$89336316,$55870
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2014,36,355,$18988960,$53490
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2014,402,6328,$340023204,$53733
Labor Market Area,New York City Region,333,Machinery Manufacturing,2014,94,1365,$75513255,$55321
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2014,112,2647,$177864387,$67195
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2014,65,785,$50514684,$64350
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2014,37,1092,$66439337,$60842
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2014,397,3436,$166074187,$48334
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2014,997,9523,$532878501,$55957
Labor Market Area,New York City Region,42,Wholesale Trade,2014,15234,133955,$11682458383,$87212
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2014,6150,50059,$3957937319,$79065
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2014,6892,71372,$6287249225,$88091
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2014,2192,12523,$1437271839,$114771
Labor Market Area,New York City Region,44,Retail Trade,2014,32080,345975,$13459257195,$38902
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2014,751,10943,$646500996,$59079
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2014,1383,10523,$439594089,$41775
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2014,1675,18176,$909211513,$50023
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2014,1177,13768,$522473218,$37948
Labor Market Area,New York City Region,445,Food and Beverage Stores,2014,9441,80754,$2020548259,$25021
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2014,4395,43229,$1850966865,$42818
Labor Market Area,New York City Region,447,Gasoline Stations,2014,600,3042,$71561635,$23525
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2014,5780,76376,$3109733475,$40716
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2014,1208,11945,$294373928,$24644
Labor Market Area,New York City Region,452,General Merchandise Stores,2014,1431,43555,$1322736957,$30369
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2014,3096,19675,$1130161299,$57441
Labor Market Area,New York City Region,454,Nonstore Retailers,2014,1144,13990,$1141394961,$81586
Labor Market Area,New York City Region,48,Transportation and Warehousing,2014,4680,107031,$5684632737,$53112
Labor Market Area,New York City Region,481,Air Transportation,2014,143,27792,$2045343926,$73595
Labor Market Area,New York City Region,482,Rail Transportation,2014,1,1,$37879,$37879
Labor Market Area,New York City Region,483,Water Transportation,2014,45,1786,$172032013,$96323
Labor Market Area,New York City Region,484,Truck Transportation,2014,1145,10264,$446238863,$43476
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2014,1366,30472,$1276895996,$41904
Labor Market Area,New York City Region,486,Pipeline Transportation,2014,4,32,$3217012,$100532
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2014,83,2052,$67201772,$32749
Labor Market Area,New York City Region,488,Support Activities for Transportation,2014,1102,15022,$823568467,$54824
Labor Market Area,New York City Region,491,Postal Service,2014,4,19,$516225,$27170
Labor Market Area,New York City Region,492,Couriers and Messengers,2014,640,15771,$697091617,$44201
Labor Market Area,New York City Region,493,Warehousing and Storage,2014,149,3822,$152488967,$39898
Labor Market Area,New York City Region,51,Information,2014,6107,170912,$22277985245,$130348
Labor Market Area,New York City Region,511,Publishing Industries,2014,1214,44625,$5747775363,$128802
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2014,2570,42019,$4760926402,$113304
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2014,218,27270,$4398195027,$161283
Labor Market Area,New York City Region,517,Telecommunications,2014,669,20387,$2138321395,$104887
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2014,399,7026,$1031392844,$146797
Labor Market Area,New York City Region,519,Other Information Services,2014,1038,29586,$4201374214,$142005
Labor Market Area,New York City Region,52,Finance and Insurance,2014,11928,317980,$93567181847,$294255
Labor Market Area,New York City Region,521,Monetary Authorities - Central Bank,2014,6,2701,$427292633,$158198
Labor Market Area,New York City Region,522,Credit Intermediation & Related Activity,2014,3588,92235,$17348540110,$188091
Labor Market Area,New York City Region,523,Financial Investment & Related Activity,2014,5649,165275,$66911932883,$404852
Labor Market Area,New York City Region,524,Insurance Carriers & Related Activities,2014,2547,57231,$8781159842,$153434
Labor Market Area,New York City Region,525,"Funds, Trusts & Other Financial Vehicles",2014,139,538,$98256379,$182633
Labor Market Area,New York City Region,53,Real Estate and Rental and Leasing,2014,20681,122174,$8782119588,$71882
Labor Market Area,New York City Region,531,Real Estate,2014,19736,112249,$8141149715,$72528
Labor Market Area,New York City Region,532,Rental and Leasing Services,2014,798,8135,$428144444,$52630
Labor Market Area,New York City Region,533,"Lessors, Nonfinancial Intangible Assets",2014,147,1790,$212825429,$118897
Labor Market Area,New York City Region,54,Professional and Technical Services,2014,28596,364569,$44421950111,$121848
Labor Market Area,New York City Region,541,Professional and Technical Services,2014,28596,364569,$44421950111,$121848
Labor Market Area,New York City Region,55,Management of Companies and Enterprises,2014,1493,67358,$12876581876,$191166
Labor Market Area,New York City Region,551,Management of Companies and Enterprises,2014,1493,67358,$12876581876,$191166
Labor Market Area,New York City Region,56,Administrative and Waste Services,2014,10082,206039,$10822014805,$52524
Labor Market Area,New York City Region,561,Administrative and Support Services,2014,9742,198860,$10418996027,$52394
Labor Market Area,New York City Region,562,Waste Management and Remediation Service,2014,340,7179,$403018778,$56139
Labor Market Area,New York City Region,61,Educational Services,2014,3841,162293,$9716028811,$59867
Labor Market Area,New York City Region,611,Educational Services,2014,3841,162293,$9716028811,$59867
Labor Market Area,New York City Region,62,Health Care and Social Assistance,2014,22075,635240,$31451958983,$49512
Labor Market Area,New York City Region,621,Ambulatory Health Care Services,2014,15763,223356,$10350510586,$46341
Labor Market Area,New York City Region,622,Hospitals,2014,77,164797,$13211776647,$80170
Labor Market Area,New York City Region,623,Nursing and Residential Care Facilities,2014,1335,74843,$2934042845,$39203
Labor Market Area,New York City Region,624,Social Assistance,2014,4901,172244,$4955628905,$28771
Labor Market Area,New York City Region,71,"Arts, Entertainment, and Recreation",2014,5377,79717,$5325799386,$66809
Labor Market Area,New York City Region,711,Performing Arts and Spectator Sports,2014,4014,38919,$3755768465,$96502
Labor Market Area,New York City Region,712,"Museums, Parks and Historical Sites",2014,245,13318,$714836592,$53674
Labor Market Area,New York City Region,713,"Amusement, Gambling & Recreation Ind",2014,1118,27480,$855194329,$31121
Labor Market Area,New York City Region,72,Accommodation and Food Services,2014,20759,323595,$10169593538,$31427
Labor Market Area,New York City Region,721,Accommodation,2014,726,49873,$2995958729,$60072
Labor Market Area,New York City Region,722,Food Services and Drinking Places,2014,20033,273722,$7173634809,$26208
Labor Market Area,New York City Region,81,"Other Services, Ex. Public Admin",2014,34332,162261,$7297815513,$44976
Labor Market Area,New York City Region,811,Repair and Maintenance,2014,3288,14538,$491611735,$33816
Labor Market Area,New York City Region,812,Personal and Laundry Services,2014,10904,52978,$1491437607,$28152
Labor Market Area,New York City Region,813,Membership Organizations & Associations,2014,6663,76842,$4670581547,$60782
Labor Market Area,New York City Region,814,Private Households,2014,13477,17903,$644184624,$35982
Labor Market Area,New York City Region,953,Local Government,2014,112,447880,$26288549429,$58696
Labor Market Area,New York City Region,99,Unclassified,2014,18991,19356,$787741580,$40698
Labor Market Area,New York City Region,0,"Total, All Industries",2014,255566,3966183,$336134455321,$84750
Labor Market Area,New York City Region,1,"Total, All Private",2014,254676,3433600,$303284024886,$88328
Labor Market Area,New York City Region,95,"Total, All Government",2014,890,532583,$32850430435,$61681
Labor Market Area,New York City Region,951,Federal Government,2014,399,48784,$3968764651,$81354
Labor Market Area,New York City Region,952,State Government,2014,379,35919,$2593116355,$72193
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2013,51,235,$12660602,$53875
Labor Market Area,New York City Region,111,Crop Production,2013,19,57,$1654310,$29023
Labor Market Area,New York City Region,112,Animal Production,2013,14,61,$2082470,$34139
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2013,16,117,$8923822,$76272
Labor Market Area,New York City Region,21,Mining,2013,8,45,$8709307,$193540
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2013,3,13,$4114886,$316530
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2013,4,31,$4560421,$147110
Labor Market Area,New York City Region,23,Construction,2013,12479,117610,$8579639219,$72950
Labor Market Area,New York City Region,236,Construction of Buildings,2013,4969,32212,$2262161022,$70227
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2013,260,8394,$905877600,$107920
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2013,7251,77003,$5411600597,$70278
Labor Market Area,New York City Region,31,Manufacturing,2013,5861,75860,$3916436359,$51627
Labor Market Area,New York City Region,311,Food Manufacturing,2013,1087,15471,$504218991,$32591
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2013,45,874,$167473249,$191617
Labor Market Area,New York City Region,313,Textile Mills,2013,138,1253,$100005945,$79813
Labor Market Area,New York City Region,314,Textile Product Mills,2013,130,1016,$62666440,$61680
Labor Market Area,New York City Region,315,Apparel Manufacturing,2013,1124,16118,$763261416,$47355
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2013,60,471,$21615564,$45893
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2013,77,788,$38076393,$48320
Labor Market Area,New York City Region,322,Paper Manufacturing,2013,55,1305,$76954480,$58969
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2013,644,6656,$372206337,$55920
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2013,6,68,$5995025,$88162
Labor Market Area,New York City Region,325,Chemical Manufacturing,2013,116,2926,$277096217,$94701
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2013,67,1567,$64663734,$41266
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2013,122,1664,$92243690,$55435
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2013,36,346,$21142180,$61105
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2013,416,6313,$333912806,$52893
Labor Market Area,New York City Region,333,Machinery Manufacturing,2013,93,1373,$70671751,$51473
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2013,114,2973,$176906646,$59504
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2013,63,753,$44638070,$59280
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2013,41,1108,$62881877,$56753
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2013,403,3265,$154869356,$47433
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2013,1027,9553,$504936192,$52856
Labor Market Area,New York City Region,42,Wholesale Trade,2013,15449,132315,$11310319520,$85480
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2013,6243,49873,$3911320266,$78426
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2013,7001,70187,$5981967080,$85229
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2013,2204,12255,$1417032174,$115629
Labor Market Area,New York City Region,44,Retail Trade,2013,32389,336266,$12640061968,$37589
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2013,774,10861,$620290005,$57112
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2013,1411,10390,$424804331,$40886
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2013,1698,17636,$851733278,$48295
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2013,1184,13718,$493880882,$36002
Labor Market Area,New York City Region,445,Food and Beverage Stores,2013,9488,77093,$1905654331,$24719
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2013,4430,41576,$1731864562,$41655
Labor Market Area,New York City Region,447,Gasoline Stations,2013,615,3071,$68357222,$22259
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2013,5882,76459,$2991824771,$39130
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2013,1222,11775,$293620021,$24936
Labor Market Area,New York City Region,452,General Merchandise Stores,2013,1384,41526,$1261449990,$30377
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2013,3228,19584,$1037594487,$52982
Labor Market Area,New York City Region,454,Nonstore Retailers,2013,1074,12578,$958988088,$76243
Labor Market Area,New York City Region,48,Transportation and Warehousing,2013,4691,103677,$5363724694,$51735
Labor Market Area,New York City Region,481,Air Transportation,2013,140,27777,$1957462335,$70471
Labor Market Area,New York City Region,483,Water Transportation,2013,46,1741,$161467454,$92744
Labor Market Area,New York City Region,484,Truck Transportation,2013,1150,9991,$431387181,$43178
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2013,1375,27822,$1131993679,$40687
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2013,76,1842,$57693989,$31321
Labor Market Area,New York City Region,488,Support Activities for Transportation,2013,1097,14948,$783959417,$52446
Labor Market Area,New York City Region,491,Postal Service,2013,3,14,$375459,$26819
Labor Market Area,New York City Region,492,Couriers and Messengers,2013,654,15760,$690083289,$43787
Labor Market Area,New York City Region,493,Warehousing and Storage,2013,147,3766,$147795882,$39245
Labor Market Area,New York City Region,51,Information,2013,5835,163618,$19845898097,$121294
Labor Market Area,New York City Region,511,Publishing Industries,2013,1145,44528,$5374907683,$120708
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2013,2510,40376,$4158584314,$102996
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2013,233,26481,$4032840884,$152292
Labor Market Area,New York City Region,517,Telecommunications,2013,672,21580,$2226337140,$103167
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2013,341,5447,$717481405,$131720
Labor Market Area,New York City Region,519,Other Information Services,2013,934,25206,$3335746671,$132339
Labor Market Area,New York City Region,52,Finance and Insurance,2013,11925,310208,$82513359068,$265994
Labor Market Area,New York City Region,522,Credit Intermediation & Related Activity,2013,3611,88725,$15908737645,$179304
Labor Market Area,New York City Region,523,Financial Investment & Related Activity,2013,5633,163150,$58066809463,$355911
Labor Market Area,New York City Region,524,Insurance Carriers & Related Activities,2013,2551,55164,$8086832813,$146596
Labor Market Area,New York City Region,525,"Funds, Trusts & Other Financial Vehicles",2013,127,443,$36795576,$83060
Labor Market Area,New York City Region,53,Real Estate and Rental and Leasing,2013,20673,119173,$7981650592,$66975
Labor Market Area,New York City Region,531,Real Estate,2013,19734,109558,$7343630050,$67030
Labor Market Area,New York City Region,532,Rental and Leasing Services,2013,789,7678,$397876295,$51820
Labor Market Area,New York City Region,533,"Lessors, Nonfinancial Intangible Assets",2013,151,1937,$240144247,$123977
